Free_And_Reduced_Lunch_Percent_Eligible,Sch_Div
52.9,Yellow Branch Elementary Campbell County Public Schools
50,Altavista High Campbell County Public Schools
39.7,Brookville Middle Campbell County Public Schools
43.2,Leesville Road Elementary Campbell County Public Schools
62.4,Altavista Elementary Campbell County Public Schools
32.6,Brookville High Campbell County Public Schools
73,Brookneal Elementary Campbell County Public Schools
51.6,Rustburg Middle Campbell County Public Schools
65.3,Rustburg Elementary Campbell County Public Schools
42.9,Tomahawk Elementary Campbell County Public Schools
60.9,Bowling Green Elementary Caroline County Public Schools
47.3,Caroline High Caroline County Public Schools
53.8,Caroline Middle Caroline County Public Schools
63.2,Madison Elementary Caroline County Public Schools
43.9,Lewis and Clark Elementary Caroline County Public Schools
37,Greenbrier Middle Chesapeake City Public Schools
57.9,Oscar F. Smith High Chesapeake City Public Schools
25.9,Edwin W. Chittum Elementary Chesapeake City Public Schools
37.3,Jolliff Middle Chesapeake City Public Schools
59.9,Southwestern Elementary Chesapeake City Public Schools
30.7,Western Branch High Chesapeake City Public Schools
39.6,Western Branch Intermediate Chesapeake City Public Schools
12.4,Butts Road Intermediate Chesapeake City Public Schools
20.5,Cedar Road Elementary Chesapeake City Public Schools
18.9,Great Bridge High Chesapeake City Public Schools
16.6,Great Bridge Middle Chesapeake City Public Schools
23.8,Hickory Elementary Chesapeake City Public Schools
8,Hickory High Chesapeake City Public Schools
12.8,Hickory Middle Chesapeake City Public Schools
15.4,Southeastern Elementary Chesapeake City Public Schools
29.4,Deep Creek Central Elementary Chesapeake City Public Schools
47.9,Deep Creek Elementary Chesapeake City Public Schools
46,Deep Creek High Chesapeake City Public Schools
48.1,Deep Creek Middle Chesapeake City Public Schools
12.6,Grassfield High Chesapeake City Public Schools
26.2,Hugo A. Owens Middle Chesapeake City Public Schools
97.1,Oscar Smith Middle Chesapeake City Public Schools
97.1,Truitt Intermediate Chesapeake City Public Schools
45.2,Indian River High Chesapeake City Public Schools
60.6,Indian River Middle Chesapeake City Public Schools
60.9,Sparrow Road Intermediate Chesapeake City Public Schools
50.2,Crestwood Middle Chesapeake City Public Schools
23.3,Grassfield Elementary Chesapeake City Public Schools
97.1,Camelot Elementary Chesapeake City Public Schools
96.9,G.A. Treakle Elementary Chesapeake City Public Schools
47,Norfolk Highlands Primary Chesapeake City Public Schools
18.3,Great Bridge Intermediate Chesapeake City Public Schools
55.1,Crestwood Intermediate Chesapeake City Public Schools
97,George W. Carver Intermediate Chesapeake City Public Schools
70.6,Georgetown Primary Chesapeake City Public Schools
34.4,Western Branch Middle Chesapeake City Public Schools
34.6,Greenbrier Intermediate Chesapeake City Public Schools
97,Thurgood Marshall Elementary Chesapeake City Public Schools
40.5,A.G. Richardson Elementary Culpeper County Public Schools
35.8,Culpeper County High Culpeper County Public Schools
47.6,Culpeper Middle Culpeper County Public Schools
40.6,Eastern View High Culpeper County Public Schools
69.1,Farmington Elementary Culpeper County Public Schools
52,Floyd T. Binns Middle Culpeper County Public Schools
72.7,Sycamore Park Elementary Culpeper County Public Schools
46.2,Yowell Elementary Culpeper County Public Schools
33,Emerald Hill Elementary Culpeper County Public Schools
56.4,Pearl Sample Elementary Culpeper County Public Schools
37.5,H.M. Pearson Elementary Fauquier County Public Schools
61.1,Claude Thompson Elementary Fauquier County Public Schools
37.9,Margaret M. Pierce Elementary Fauquier County Public Schools
24.4,C.M. Bradley Elementary Fauquier County Public Schools
32.3,James G. Brumfield Elementary Fauquier County Public Schools
27.4,W.C. Taylor Middle Fauquier County Public Schools
18.2,Warrenton Middle Fauquier County Public Schools
8.3,P.B. Smith Elementary Fauquier County Public Schools
7.3,Greenville Elementary Fauquier County Public Schools
52.9,Mary Walter Elementary Fauquier County Public Schools
40.1,Grace Miller Elementary Fauquier County Public Schools
35.3,Liberty High Fauquier County Public Schools
36.1,Marshall Middle Fauquier County Public Schools
12.5,Auburn Middle Fauquier County Public Schools
31.9,W.G. Coleman Elementary Fauquier County Public Schools
19.2,Fauquier High Fauquier County Public Schools
10.6,Kettle Run High Fauquier County Public Schools
47.6,Cedar Lee Middle Fauquier County Public Schools
14.3,C. Hunter Ritchie Elementary Fauquier County Public Schools
31.6,Fluvanna County High Fluvanna County Public Schools
37.1,Fluvanna Middle Fluvanna County Public Schools
38.3,Carysbrook Elementary Fluvanna County Public Schools
85.1,Henry Elementary Franklin County Public Schools
50.5,Burnt Chimney Elementary Franklin County Public Schools
85.2,Ferrum Elementary Franklin County Public Schools
63,Snow Creek Elementary Franklin County Public Schools
43.5,Boones Mill Elementary Franklin County Public Schools
50.5,Benjamin Franklin Middle Franklin County Public Schools
85,Rocky Mount Elementary Franklin County Public Schools
65.5,Glade Hill Elementary Franklin County Public Schools
58.4,Callaway Elementary Franklin County Public Schools
84.9,Sontag Elementary Franklin County Public Schools
43.4,Franklin County High Franklin County Public Schools
85,Lee M. Waid Elementary Franklin County Public Schools
49.2,Windy Gap Elementary Franklin County Public Schools
45.8,Dudley Elementary Franklin County Public Schools
57.7,Highland Elementary Highland County Public Schools
59.8,Highland High Highland County Public Schools
25.5,George W. Watkins Elementary New Kent County Public Schools
90.9,Crewe Primary Nottoway County Public Schools
90.9,Nottoway High Nottoway County Public Schools
90.8,Nottoway Intermediate Nottoway County Public Schools
90.9,Nottoway Middle Nottoway County Public Schools
90.9,Blackstone Primary Nottoway County Public Schools
100,Cool Spring Elementary Petersburg City Public Schools
100,Lakemont Elementary Petersburg City Public Schools
100,Pleasants Lane Elementary Petersburg City Public Schools
100,Vernon Johns Middle Petersburg City Public Schools
100,Walnut Hill Elementary Petersburg City Public Schools
100,Petersburg High Petersburg City Public Schools
54.9,Simonsdale Elementary Portsmouth City Public Schools
100,Hodges Manor Elementary Portsmouth City Public Schools
64.4,Manor High Portsmouth City Public Schools
100,Douglass Park Elementary Portsmouth City Public Schools
100,Lakeview Elementary Portsmouth City Public Schools
100,William E. Waters Middle Portsmouth City Public Schools
58.9,Victory Elementary Portsmouth City Public Schools
100,Cradock Middle Portsmouth City Public Schools
100,Cradock Elementary Portsmouth City Public Schools
50,Churchland Primary & Intermediate Portsmouth City Public Schools
59.4,Churchland Academy Elementary Portsmouth City Public Schools
53.7,Churchland Middle Portsmouth City Public Schools
48.8,Churchland High Portsmouth City Public Schools
100,Park View Elementary Portsmouth City Public Schools
100,I.C. Norcom High Portsmouth City Public Schools
100,Waterview Elementary Portsmouth City Public Schools
100,Westhaven Elementary Portsmouth City Public Schools
39.1,Churchland Elementary Portsmouth City Public Schools
18.4,Flat Rock Elementary Powhatan County Public Schools
16.5,Powhatan Elementary Powhatan County Public Schools
20.2,Powhatan Middle Powhatan County Public Schools
29.5,Pocahontas Elementary Powhatan County Public Schools
17,Powhatan High Powhatan County Public Schools
74.1,Rappahannock High Richmond County Public Schools
74.2,Richmond County Elementary Richmond County Public Schools
40.8,Edward E. Drew Jr. Middle Stafford County Public Schools
47.2,Falmouth Elementary Stafford County Public Schools
24.3,Grafton Village Elementary Stafford County Public Schools
27.8,Hartwood Elementary Stafford County Public Schools
42.3,Anthony Burns Elementary Stafford County Public Schools
20.4,Colonial Forge High Stafford County Public Schools
31.4,H.H. Poole Middle Stafford County Public Schools
17.3,Rodney E. Thompson Middle Stafford County Public Schools
43.5,Shirley C. Heim Middle Stafford County Public Schools
25.3,Stafford Elementary Stafford County Public Schools
44,Stafford Middle Stafford County Public Schools
53.9,Widewater Elementary Stafford County Public Schools
29.1,Andrew G. Wright Middle Stafford County Public Schools
61.7,Anne E. Moncure Elementary Stafford County Public Schools
25.2,Rockhill Elementary Stafford County Public Schools
40.7,Conway Elementary Stafford County Public Schools
41.1,Rocky Run Elementary Stafford County Public Schools
33.3,T. Benton Gayle Middle Stafford County Public Schools
31.3,Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools
29.3,Brooke Point High Stafford County Public Schools
22.8,Hampton Oaks Elementary Stafford County Public Schools
56.2,Kate Waller Barrett Elementary Stafford County Public Schools
40.7,North Stafford High Stafford County Public Schools
25.6,Park Ridge Elementary Stafford County Public Schools
29.6,Stafford Senior High Stafford County Public Schools
24.2,Winding Creek Elementary Stafford County Public Schools
36.6,Ferry Farm Elementary Stafford County Public Schools
53.2,Tazewell High Tazewell County Public Schools
56.6,Tazewell Middle Tazewell County Public Schools
50,Graham Intermediate Tazewell County Public Schools
43.4,Graham High Tazewell County Public Schools
86.7,Richlands Middle Tazewell County Public Schools
86.8,Richlands Elementary Tazewell County Public Schools
56.2,Cedar Bluff Elementary Tazewell County Public Schools
86.6,Tazewell Intermediate Tazewell County Public Schools
51.1,Richlands High Tazewell County Public Schools
47.7,Graham Middle Tazewell County Public Schools
94.6,Abb's Valley-Boissevain Elementary Tazewell County Public Schools
65.3,Daniel Morgan Intermediate Winchester City Public Schools
63.1,Daniel Morgan Middle Winchester City Public Schools
82.8,Frederick Douglass Elementary Winchester City Public Schools
82.9,Garland R. Quarles Elementary Winchester City Public Schools
82.8,John Kerr Elementary Winchester City Public Schools
50.8,John Handley High Winchester City Public Schools
10.6,Western Albemarle High Albemarle County Public Schools
32.3,Stony Point Elementary Albemarle County Public Schools
10.4,Meriwether Lewis Elementary Albemarle County Public Schools
39.7,Leslie H. Walton Middle Albemarle County Public Schools
25,Baker-Butler Elem Albemarle County Public Schools
43.4,Scottsville Elementary Albemarle County Public Schools
52.8,Red Hill Elementary Albemarle County Public Schools
61.9,Woodbrook Elementary Albemarle County Public Schools
53.2,Agnor-Hurt Elementary Albemarle County Public Schools
73,Mary Carr Greer Elementary Albemarle County Public Schools
41.6,Mountain View Elementary Albemarle County Public Schools
29.5,Monticello High Albemarle County Public Schools
40.5,Jackson P. Burley Middle Albemarle County Public Schools
21.2,Community Lab School Albemarle County Public Schools
6.6,Virginia L. Murray Elementary Albemarle County Public Schools
26.8,Stone Robinson Elementary Albemarle County Public Schools
14.9,Hollymead Elementary Albemarle County Public Schools
54.9,Journey Middle Albemarle County Public Schools
29.2,Albemarle High Albemarle County Public Schools
10.9,Brownsville Elementary Albemarle County Public Schools
13.3,Joseph T. Henley Middle Albemarle County Public Schools
19.8,Lakeside Middle Albemarle County Public Schools
15.1,Broadus Wood Elementary Albemarle County Public Schools
26,Crozet Elementary Albemarle County Public Schools
32.9,Long Branch Elementary Arlington County Public Schools
29.6,Washington-Liberty High Arlington County Public Schools
61.4,Barrett Elementary Arlington County Public Schools
29.9,Alice West Fleet Elementary Arlington County Public Schools
61.9,Barcroft Elementary Arlington County Public Schools
81.2,Carlin Springs Elementary Arlington County Public Schools
45.8,Hoffman-Boston Elementary Arlington County Public Schools
52.2,Kenmore Middle Arlington County Public Schools
73.1,Randolph Elementary Arlington County Public Schools
30.7,Arlington Traditional Arlington County Public Schools
15.7,Ashlawn Elementary Arlington County Public Schools
8.7,Cardinal Elementary Arlington County Public Schools
39.4,Escuela Key Elementary Arlington County Public Schools
20,Swanson Middle Arlington County Public Schools
37,Gunston Middle Arlington County Public Schools
14.4,Dorothy Hamm Middle Arlington County Public Schools
15.4,Glebe Elementary Arlington County Public Schools
3.4,Jamestown Elementary Arlington County Public Schools
4.3,Nottingham Elementary Arlington County Public Schools
4,Williamsburg Middle Arlington County Public Schools
1.5,Tuckahoe Elementary Arlington County Public Schools
61.1,Dr. Charles R. Drew Elementary Arlington County Public Schools
44.5,Abingdon Elementary Arlington County Public Schools
40.9,Jefferson Middle Arlington County Public Schools
3.4,Discovery Elementary Arlington County Public Schools
23.1,Oakridge Elementary Arlington County Public Schools
41.1,Wakefield High Arlington County Public Schools
11.7,Yorktown High Arlington County Public Schools
4.7,Taylor Elementary Arlington County Public Schools
28.3,Montessori Public School of Arlington Arlington County Public Schools
22.8,Arlington Community High Arlington County Public Schools
50.2,Campbell Elementary Arlington County Public Schools
30.7,Claremont Immersion Arlington County Public Schools
45.2,Buchanan Elementary Botetourt County Public Schools
24.3,James River High Botetourt County Public Schools
36.4,Breckinridge Elementary Botetourt County Public Schools
30.2,Central Academy Middle Botetourt County Public Schools
23.7,Read Mountain Middle Botetourt County Public Schools
60.5,Eagle Rock Elementary Botetourt County Public Schools
29,Greenfield Elementary Botetourt County Public Schools
28.5,Troutville Elementary Botetourt County Public Schools
23.9,Cloverdale Elementary Botetourt County Public Schools
27.9,Colonial Elementary Botetourt County Public Schools
18.9,Lord Botetourt High Botetourt County Public Schools
97.9,Red Oak-Sturgeon Elementary Brunswick County Public Schools
97.8,Brunswick High Brunswick County Public Schools
97.7,James S. Russell Middle Brunswick County Public Schools
97.6,Meherrin Powellton Elementary Brunswick County Public Schools
97.7,Totaro Elementary Brunswick County Public Schools
77.8,Enderly Heights Elementary Buena Vista City Public Schools
50.4,Parry McCluer High Buena Vista City Public Schools
78,Parry McCluer Middle Buena Vista City Public Schools
61.9,Bacon District Elementary Charlotte County Public Schools
60.8,Eureka Elementary Charlotte County Public Schools
50.7,Randolph-Henry High Charlotte County Public Schools
59.9,Central Middle Charlotte County Public Schools
62.9,Phenix Elementary Charlotte County Public Schools
70.2,Ridgeview High Dickenson County Public Schools
86.5,Ridgeview Middle Dickenson County Public Schools
82.1,Ervinton Elementary Dickenson County Public Schools
82.1,Sandlick Elementary Dickenson County Public Schools
82.2,Clintwood Elementary Dickenson County Public Schools
42.7,Dinwiddie County High Dinwiddie County Public Schools
54,Dinwiddie County Middle Dinwiddie County Public Schools
72.5,Southside Elementary Dinwiddie County Public Schools
38.8,Midway Elementary Dinwiddie County Public Schools
50.1,Dinwiddie Elementary Dinwiddie County Public Schools
58.4,Sunnyside Elementary Dinwiddie County Public Schools
58.2,Sutherland Elementary Dinwiddie County Public Schools
42.8,Middletown Elementary Frederick County Public Schools
40.1,Robert E. Aylor Middle Frederick County Public Schools
29.4,Admiral Richard E. Byrd Middle Frederick County Public Schools
22.7,Armel Elementary Frederick County Public Schools
24.6,Greenwood Mill Elementary Frederick County Public Schools
32.6,Orchard View Elementary Frederick County Public Schools
35.7,Frederick County Middle Frederick County Public Schools
34.8,Gainesboro Elementary Frederick County Public Schools
25.8,James Wood High Frederick County Public Schools
52.8,Redbud Run Elementary Frederick County Public Schools
41.7,Stonewall Elementary Frederick County Public Schools
25.9,Sherando High Frederick County Public Schools
46.6,James Wood Middle Frederick County Public Schools
41.7,Apple Pie Ridge Elementary Frederick County Public Schools
45.2,Evendale Elementary Frederick County Public Schools
34.1,Millbrook High Frederick County Public Schools
38.5,Bass-Hoover Elementary Frederick County Public Schools
40.9,Indian Hollow Elementary Frederick County Public Schools
37.2,Byrd Elementary Goochland County Public Schools
24,Goochland Elementary Goochland County Public Schools
20.5,Goochland High Goochland County Public Schools
27.4,Goochland Middle Goochland County Public Schools
28.4,Randolph Elementary Goochland County Public Schools
53.1,Lancaster High Lancaster County Public Schools
66.4,Lancaster Middle Lancaster County Public Schools
75.8,Lancaster Primary Lancaster County Public Schools
89.8,Victoria Elementary Lunenburg County Public Schools
79.4,Lunenburg Middle Lunenburg County Public Schools
59.2,Central High Lunenburg County Public Schools
89.9,Kenbridge Elementary Lunenburg County Public Schools
36.6,Middlesex High Middlesex County Public Schools
49.6,St. Clare Walker Middle Middlesex County Public Schools
61,Middlesex Elementary Middlesex County Public Schools
50.7,Appomattox Elementary Appomattox County Public Schools
52.8,Appomattox Middle Appomattox County Public Schools
41.4,Appomattox County High Appomattox County Public Schools
82.1,Buckingham Co Elementary Buckingham County Public Schools
55.4,Buckingham County High Buckingham County Public Schools
82.2,Buckingham County Middle Buckingham County Public Schools
85.8,Cumberland Elementary Cumberland County Public Schools
82.8,Cumberland Middle Cumberland County Public Schools
71,Cumberland High Cumberland County Public Schools
0,Mary Ellen Henderson Middle Falls Church City Public Schools
0,Meridian High Falls Church City Public Schools
6.7,Oak Street Elementary Falls Church City Public Schools
46.1,Abingdon Elementary Gloucester County Public Schools
46.1,Achilles Elementary Gloucester County Public Schools
38,Bethel Elementary Gloucester County Public Schools
43.3,Page Middle Gloucester County Public Schools
35.1,Gloucester High Gloucester County Public Schools
42.1,Botetourt Elementary Gloucester County Public Schools
36.9,Peasley Middle Gloucester County Public Schools
45.3,Petsworth Elementary Gloucester County Public Schools
66.9,Bluestone Elementary Harrisonburg City Public Schools
66.1,Harrisonburg High Harrisonburg City Public Schools
68.7,Keister Elementary Harrisonburg City Public Schools
83.7,Spotswood Elementary Harrisonburg City Public Schools
83.7,Stone Spring Elementary Harrisonburg City Public Schools
83.7,Skyline Middle Harrisonburg City Public Schools
83.8,Smithland Elementary Harrisonburg City Public Schools
73.8,Waterman Elementary Harrisonburg City Public Schools
66.2,Thomas Harrison Middle Harrisonburg City Public Schools
100,Albert Harris Elementary Martinsville City Public Schools
100,Martinsville Middle Martinsville City Public Schools
100,Patrick Henry Elementary Martinsville City Public Schools
100,Martinsville High Martinsville City Public Schools
46.4,Auburn Elementary Montgomery County Public Schools
34.1,Auburn High Montgomery County Public Schools
48.8,Belview Elementary Montgomery County Public Schools
70.3,Eastern Montgomery Elementary Montgomery County Public Schools
54.9,Eastern Montgomery High Montgomery County Public Schools
17.7,Blacksburg High Montgomery County Public Schools
28.5,Gilbert Linkous Elementary Montgomery County Public Schools
18.7,Harding Avenue Elementary Montgomery County Public Schools
18,Kipps Elementary Montgomery County Public Schools
30.8,Margaret Beeks Elementary Montgomery County Public Schools
53.9,Prices Fork Elementary Montgomery County Public Schools
58.9,Shawsville Middle Montgomery County Public Schools
34.7,Christiansburg High Montgomery County Public Schools
43.3,Christiansburg Middle Montgomery County Public Schools
24.3,Blacksburg Middle Montgomery County Public Schools
46.3,Christiansburg Elementary Montgomery County Public Schools
47.4,Auburn Middle Montgomery County Public Schools
42.3,Falling Branch Elementary Montgomery County Public Schools
76.5,General Stanford Elementary Newport News City Public Schools
76.5,Deer Park Elementary Newport News City Public Schools
76.4,Hilton Elementary Newport News City Public Schools
76.4,Homer L. Hines Middle Newport News City Public Schools
76.4,Joseph H. Saunders Elementary Newport News City Public Schools
76.5,Warwick High Newport News City Public Schools
76.4,Kiln Creek Elementary Newport News City Public Schools
76.5,Menchville High Newport News City Public Schools
76.4,T. Ryland Sanford Elementary Newport News City Public Schools
76.5,Willis A. Jenkins Elementary Newport News City Public Schools
76.5,Katherine Johnson Elementary Newport News City Public Schools
76.4,Carver Elementary Newport News City Public Schools
76.5,Crittenden Middle Newport News City Public Schools
76.5,Heritage High Newport News City Public Schools
76.3,Huntington Middle Newport News City Public Schools
76.4,Sedgefield Elementary Newport News City Public Schools
76.5,Ethel M. Gildersleeve Middle Newport News City Public Schools
76.4,Hidenwood Elementary Newport News City Public Schools
76.4,Richard T. Yates Elementary Newport News City Public Schools
76.5,Riverside Elementary Newport News City Public Schools
76.5,Achievable Dream Academy Newport News City Public Schools
76.4,Discovery STEM Academy Newport News City Public Schools
76.4,Newsome Park Elementary Newport News City Public Schools
76.5,David A. Dutrow Elementary Newport News City Public Schools
76.5,Mary Passage Middle Newport News City Public Schools
76.4,Oliver C. Greenwood Elementary Newport News City Public Schools
76.5,Woodside High Newport News City Public Schools
76.4,Denbigh High Newport News City Public Schools
76.5,Richneck Elementary Newport News City Public Schools
33.3,Rockbridge County High Rockbridge County Public Schools
53.8,Fairfield Elementary Rockbridge County Public Schools
45.9,Mountain View Elementary Rockbridge County Public Schools
70.3,Natural Bridge Elementary Rockbridge County Public Schools
52.3,Central Elementary Rockbridge County Public Schools
51.2,Maury River Middle Rockbridge County Public Schools
55.1,Ottobine Elementary Rockingham County Public Schools
38.9,Wilbur S. Pence Middle Rockingham County Public Schools
44.4,Elkton Elementary Rockingham County Public Schools
56.7,River Bend Elementary Rockingham County Public Schools
43.5,J. Frank Hillyard Middle Rockingham County Public Schools
53.4,Fulks Run Elementary Rockingham County Public Schools
46.4,Cub Run Elementary Rockingham County Public Schools
34.2,Spotswood High Rockingham County Public Schools
29,John W. Wayland Elementary Rockingham County Public Schools
47.5,Mountain View Elementary Rockingham County Public Schools
61.1,Pleasant Valley Elementary Rockingham County Public Schools
46.4,Lacey Spring Elementary Rockingham County Public Schools
43.7,Elkton Middle Rockingham County Public Schools
33.6,Broadway High Rockingham County Public Schools
35.2,East Rockingham High Rockingham County Public Schools
51.9,Plains Elementary Rockingham County Public Schools
40.5,South River Elementary Rockingham County Public Schools
38.8,John C. Myers Elementary Rockingham County Public Schools
36.5,Peak View Elementary Rockingham County Public Schools
38.6,Montevideo Middle Rockingham County Public Schools
40.8,McGaheysville Elementary Rockingham County Public Schools
30.8,Turner Ashby High Rockingham County Public Schools
41.5,Linville-Edom Elementary Rockingham County Public Schools
45.5,Sandy Hook Elementary Shenandoah County Public Schools
28,Strasburg High Shenandoah County Public Schools
42.1,Central High Shenandoah County Public Schools
